[object Object],TEST_TX_1754912719249,2025-08-11T11:45:19.250Z,pending,0,,,,,
8dbyyXBmJH7znAkncLLdjhQCLXdW2jLyHKH5ZfPopump,2LMcQ4GditKvUa1jteXDZSa84dAXH6QjEof8cArNwv3t7a4eS7STcYC87LZNtsux7cmHXNQDUfi69c4otVVA7gcW,2025-08-14T16:40:46.709Z,rejected,1,0.8338803018612387,,,2025-08-14T16:40:46.709Z,Low liquidity: 0.83 ETH
4mp9NxyTj56rGqkppiGAicibnJxH8kQ5NMk8ays9pump,5StympRNubS8nEhHAzCeXnYVMNvxW7Gk8jmCajxZZbp9h7qrogopEywN5nUMiaQMDrDb8iyQ1Vf8KcyxUL8f9nLY,2025-08-14T16:40:46.729Z,pending,0,,,,,
4mp9NxyTj56rGqkppiGAicibnJxH8kQ5NMk8ays9pump,5StympRNubS8nEhHAzCeXnYVMNvxW7Gk8jmCajxZZbp9h7qrogopEywN5nUMiaQMDrDb8iyQ1Vf8KcyxUL8f9nLY,2025-08-14T16:40:46.729Z,rejected,1,0.7528379057956673,,,2025-08-14T16:40:46.730Z,Low liquidity: 0.75 ETH
8GC1bHxLTkESZrJN1Hb9fuSkiZR2K6yy8MhukDdHpump,4V783z1fuH9yPPazBcnhKZqUe9Lghjog3Yap6Ed6rBoWxoetmKQ6zSDPWCY3rR1DDVnXcUZbVf1q4HXZjErD63ni,2025-08-14T16:40:46.749Z,pending,0,,,,,
8GC1bHxLTkESZrJN1Hb9fuSkiZR2K6yy8MhukDdHpump,4V783z1fuH9yPPazBcnhKZqUe9Lghjog3Yap6Ed6rBoWxoetmKQ6zSDPWCY3rR1DDVnXcUZbVf1q4HXZjErD63ni,2025-08-14T16:40:46.749Z,rejected,1,2.401236654747667,,,2025-08-14T16:40:46.757Z,Mint/Freeze authorities not renounced
8dbyyXBmJH7znAkncLLdjhQCLXdW2jLyHKH5ZfPopump,2cp7ZJpgWGuXw3fiVJ2cmffp9W5yin7XmKFmZKFv7hJXCRKYvTPXZisZsMZ7UykHmMzUf1GF6ps2vw9k1fhaSHKy,2025-08-14T16:40:46.774Z,pending,0,,,,,
8dbyyXBmJH7znAkncLLdjhQCLXdW2jLyHKH5ZfPopump,2cp7ZJpgWGuXw3fiVJ2cmffp9W5yin7XmKFmZKFv7hJXCRKYvTPXZisZsMZ7UykHmMzUf1GF6ps2vw9k1fhaSHKy,2025-08-14T16:40:46.774Z,bought,1,7.993168281317918,true,,2025-08-14T16:40:46.775Z,
8dbyyXBmJH7znAkncLLdjhQCLXdW2jLyHKH5ZfPopump,2fMC7YA1ijKZFmMvmZSDVumRgfXTxgHnWBYeN83GYitdJKsymd4yobXExyMAT3nmKmV98EC2dyhCY5EaAiMb8u6X,2025-08-14T16:40:46.800Z,pending,0,,,,,
8dbyyXBmJH7znAkncLLdjhQCLXdW2jLyHKH5ZfPopump,2fMC7YA1ijKZFmMvmZSDVumRgfXTxgHnWBYeN83GYitdJKsymd4yobXExyMAT3nmKmV98EC2dyhCY5EaAiMb8u6X,2025-08-14T16:40:46.800Z,rejected,1,9.105769952593647,,,2025-08-14T16:40:46.801Z,Mint/Freeze authorities not renounced
waMSRNvvjsawBocgdpfeUMZKWfsfBgbpVFK2doVpump,j7Z5KjTymyZ46EQGPapi79gBoKNsbRAAwE15mhCjF5z7WAm455KSjWRWcvvezfBbqQYUR5dQ7z7GS2FS23nZKfP,2025-08-14T16:40:46.823Z,pending,0,,,,,
