timestamp,tokenMint,score,shouldBuy,scamPatterns,liquidity,holders,sellable,age,momentum,reasons,warnings,checkTimeMs
2025-09-24T17:50:17.696Z,D2K1BrpPxGfvYVFXNaHczHYnrTLM3nZVb4kqN8bqpump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,57
2025-09-24T17:50:17.724Z,5g9kYQC5MaGnMhZpzfc24PNT1L6YYe3Jb2VQSGo7pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,171
2025-09-24T17:50:17.781Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,261
2025-09-24T17:50:17.827Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,301
2025-09-24T17:50:17.872Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,381
2025-09-24T17:50:17.958Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,418
2025-09-24T17:50:17.976Z,XPPocoFnVzMeCEzcJt1gxdLTAGLcZCpjmB3gJNbpump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,328
2025-09-24T17:50:18.006Z,3G4iNjVKGVJUa2xHZZUJHaZbccPgpDg7FzFD7bBjpump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,322
2025-09-24T17:50:18.025Z,5g9kYQC5MaGnMhZpzfc24PNT1L6YYe3Jb2VQSGo7pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,364
2025-09-24T17:50:18.073Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,420
2025-09-24T17:50:18.076Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,656
2025-09-24T17:50:18.118Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,284
2025-09-24T17:50:18.230Z,SyiM1Xrzd2usAsbZNEdpc8Err8ECLarp53RpEyMpump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,761
2025-09-24T17:50:18.272Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,615
2025-09-24T17:50:18.312Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,646
2025-09-24T17:50:18.622Z,5g9kYQC5MaGnMhZpzfc24PNT1L6YYe3Jb2VQSGo7pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,82
2025-09-24T17:50:18.676Z,7tPSfurnE8AX6qhf3F39JNSvP7pnjek3jePaSWoXpump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,106
2025-09-24T17:50:18.692Z,2hCKPP9f6SN3pnyoDaVrBaZ5tMVj7zuGopcTPqW2pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,130
2025-09-24T17:50:18.695Z,DfeaQvsYYoXdL822v8FBHCWhd5w43Jtrg8CM13WRpump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,95
2025-09-24T17:50:18.746Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,154
2025-09-24T17:50:18.796Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,159
2025-09-24T17:50:18.865Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,203
2025-09-24T17:50:18.910Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,279
2025-09-24T17:50:18.970Z,BNBWxQUz3ra3w1LLb3NtpEd6TPekwL6BDu8hRbHGpump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,299
2025-09-24T17:50:19.304Z,3G4iNjVKGVJUa2xHZZUJHaZbccPgpDg7FzFD7bBjpump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,655
2025-09-24T17:50:27.544Z,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,12117
2025-09-24T17:51:10.150Z,5g9kYQC5MaGnMhZpzfc24PNT1L6YYe3Jb2VQSGo7pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,112
2025-09-24T17:51:10.269Z,3A46wZnwrAa42f6qWeQ7bW2j6BMgQGFpr3rFQYWipump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,175
2025-09-24T17:51:10.467Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,383
2025-09-24T17:51:10.469Z,J5FsJhyV5HTneY9PP4J6fkhiNnQaNQ4BzH4hAbDqeRNL,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,355
2025-09-24T17:51:11.192Z,2hCKPP9f6SN3pnyoDaVrBaZ5tMVj7zuGopcTPqW2pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,68
2025-09-24T17:51:11.233Z,5g9kYQC5MaGnMhZpzfc24PNT1L6YYe3Jb2VQSGo7pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,127
2025-09-24T17:51:11.262Z,7Kn4XTtJmbzz85LzqCGQ7JvSpyqavX3RfuY6fJkboxJF,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,95
2025-09-24T17:51:11.366Z,FUuukKiw5TVYU9qiazNhqvoENZaco9eyGxu7f5G9pump,0.0,false,20,0,0,0,0,0,Could not fetch liquidity data,,281
