timestamp,metric_name,value
2025-09-25T19:36:20.819Z,total_trades,0
2025-09-25T19:36:20.819Z,win_rate,0
2025-09-25T19:36:20.820Z,current_pool,600
2025-09-25T19:36:20.820Z,net_roi,0
2025-09-25T19:36:25.832Z,total_trades,0
2025-09-25T19:36:25.833Z,win_rate,0
2025-09-25T19:36:25.833Z,current_pool,600
2025-09-25T19:36:25.833Z,net_roi,0
2025-09-25T19:36:30.844Z,total_trades,0
2025-09-25T19:36:30.845Z,win_rate,0
2025-09-25T19:36:30.845Z,current_pool,600
2025-09-25T19:36:30.846Z,net_roi,0
2025-09-25T19:36:35.846Z,total_trades,0
2025-09-25T19:36:35.846Z,win_rate,0
2025-09-25T19:36:35.846Z,current_pool,600
2025-09-25T19:36:35.847Z,net_roi,0
2025-09-25T19:36:40.848Z,total_trades,0
2025-09-25T19:36:40.848Z,win_rate,0
2025-09-25T19:36:40.848Z,current_pool,600
2025-09-25T19:36:40.849Z,net_roi,0
2025-09-25T19:36:45.847Z,total_trades,0
2025-09-25T19:36:45.847Z,win_rate,0
2025-09-25T19:36:45.847Z,current_pool,600
2025-09-25T19:36:45.848Z,net_roi,0
2025-09-25T19:36:50.847Z,total_trades,0
2025-09-25T19:36:50.848Z,win_rate,0
2025-09-25T19:36:50.848Z,current_pool,600
2025-09-25T19:36:50.848Z,net_roi,0
2025-09-25T19:36:55.858Z,total_trades,0
2025-09-25T19:36:55.858Z,win_rate,0
2025-09-25T19:36:55.859Z,current_pool,600
2025-09-25T19:36:55.859Z,net_roi,0
2025-09-25T19:37:00.866Z,total_trades,0
2025-09-25T19:37:00.866Z,win_rate,0
2025-09-25T19:37:00.867Z,current_pool,600
2025-09-25T19:37:00.867Z,net_roi,0
2025-09-25T19:37:05.867Z,total_trades,0
2025-09-25T19:37:05.867Z,win_rate,0
2025-09-25T19:37:05.868Z,current_pool,600
2025-09-25T19:37:05.868Z,net_roi,0
2025-09-25T19:37:10.873Z,total_trades,0
2025-09-25T19:37:10.874Z,win_rate,0
2025-09-25T19:37:10.874Z,current_pool,600
2025-09-25T19:37:10.875Z,net_roi,0
2025-09-25T19:37:15.874Z,total_trades,0
2025-09-25T19:37:15.875Z,win_rate,0
2025-09-25T19:37:15.875Z,current_pool,600
2025-09-25T19:37:15.875Z,net_roi,0
2025-09-25T19:37:20.875Z,total_trades,0
2025-09-25T19:37:20.875Z,win_rate,0
2025-09-25T19:37:20.876Z,current_pool,600
2025-09-25T19:37:20.876Z,net_roi,0
2025-09-25T19:37:25.874Z,total_trades,0
2025-09-25T19:37:25.875Z,win_rate,0
2025-09-25T19:37:25.875Z,current_pool,600
2025-09-25T19:37:25.875Z,net_roi,0
2025-09-25T19:37:30.878Z,total_trades,0
2025-09-25T19:37:30.879Z,win_rate,0
2025-09-25T19:37:30.879Z,current_pool,600
2025-09-25T19:37:30.879Z,net_roi,0
2025-09-25T19:37:35.891Z,total_trades,0
2025-09-25T19:37:35.892Z,win_rate,0
2025-09-25T19:37:35.892Z,current_pool,600
2025-09-25T19:37:35.892Z,net_roi,0
2025-09-25T19:37:40.893Z,total_trades,0
2025-09-25T19:37:40.894Z,win_rate,0
2025-09-25T19:37:40.894Z,current_pool,600
2025-09-25T19:37:40.894Z,net_roi,0
2025-09-25T19:37:45.904Z,total_trades,0
2025-09-25T19:37:45.905Z,win_rate,0
2025-09-25T19:37:45.906Z,current_pool,600
2025-09-25T19:37:45.906Z,net_roi,0
2025-09-25T19:37:50.906Z,total_trades,0
2025-09-25T19:37:50.907Z,win_rate,0
2025-09-25T19:37:50.907Z,current_pool,600
2025-09-25T19:37:50.907Z,net_roi,0
2025-09-25T19:37:55.907Z,total_trades,0
2025-09-25T19:37:55.908Z,win_rate,0
2025-09-25T19:37:55.908Z,current_pool,600
2025-09-25T19:37:55.909Z,net_roi,0
2025-09-25T19:38:00.908Z,total_trades,0
2025-09-25T19:38:00.909Z,win_rate,0
2025-09-25T19:38:00.909Z,current_pool,600
2025-09-25T19:38:00.909Z,net_roi,0
2025-09-25T19:38:05.920Z,total_trades,0
2025-09-25T19:38:05.920Z,win_rate,0
2025-09-25T19:38:05.921Z,current_pool,600
2025-09-25T19:38:05.921Z,net_roi,0
2025-09-25T19:38:10.933Z,total_trades,0
2025-09-25T19:38:10.933Z,win_rate,0
2025-09-25T19:38:10.934Z,current_pool,600
2025-09-25T19:38:10.934Z,net_roi,0
2025-09-25T19:38:15.945Z,total_trades,0
2025-09-25T19:38:15.945Z,win_rate,0
2025-09-25T19:38:15.946Z,current_pool,600
2025-09-25T19:38:15.946Z,net_roi,0
2025-09-25T19:38:20.958Z,total_trades,0
2025-09-25T19:38:20.958Z,win_rate,0
2025-09-25T19:38:20.959Z,current_pool,600
2025-09-25T19:38:20.959Z,net_roi,0
2025-09-25T19:38:25.971Z,total_trades,0
2025-09-25T19:38:25.972Z,win_rate,0
2025-09-25T19:38:25.972Z,current_pool,600
2025-09-25T19:38:25.973Z,net_roi,0
2025-09-25T19:38:30.974Z,total_trades,0
2025-09-25T19:38:30.975Z,win_rate,0
2025-09-25T19:38:30.975Z,current_pool,600
2025-09-25T19:38:30.975Z,net_roi,0
2025-09-25T19:38:35.978Z,total_trades,0
2025-09-25T19:38:35.978Z,win_rate,0
2025-09-25T19:38:35.979Z,current_pool,600
2025-09-25T19:38:35.979Z,net_roi,0
2025-09-25T19:38:40.992Z,total_trades,0
2025-09-25T19:38:40.993Z,win_rate,0
2025-09-25T19:38:40.993Z,current_pool,600
2025-09-25T19:38:40.994Z,net_roi,0
2025-09-25T19:38:46.001Z,total_trades,0
2025-09-25T19:38:46.001Z,win_rate,0
2025-09-25T19:38:46.002Z,current_pool,600
2025-09-25T19:38:46.002Z,net_roi,0
2025-09-25T19:38:51.002Z,total_trades,0
2025-09-25T19:38:51.002Z,win_rate,0
2025-09-25T19:38:51.003Z,current_pool,600
2025-09-25T19:38:51.003Z,net_roi,0
2025-09-25T19:38:56.011Z,total_trades,0
2025-09-25T19:38:56.012Z,win_rate,0
2025-09-25T19:38:56.012Z,current_pool,600
2025-09-25T19:38:56.012Z,net_roi,0
2025-09-25T19:39:01.014Z,total_trades,0
2025-09-25T19:39:01.014Z,win_rate,0
2025-09-25T19:39:01.014Z,current_pool,600
2025-09-25T19:39:01.015Z,net_roi,0
2025-09-25T19:39:06.016Z,total_trades,0
2025-09-25T19:39:06.017Z,win_rate,0
2025-09-25T19:39:06.017Z,current_pool,600
2025-09-25T19:39:06.017Z,net_roi,0
2025-09-25T19:39:11.024Z,total_trades,0
2025-09-25T19:39:11.025Z,win_rate,0
2025-09-25T19:39:11.025Z,current_pool,600
2025-09-25T19:39:11.025Z,net_roi,0
2025-09-25T19:39:16.027Z,total_trades,0
2025-09-25T19:39:16.027Z,win_rate,0
2025-09-25T19:39:16.028Z,current_pool,600
2025-09-25T19:39:16.029Z,net_roi,0
2025-09-25T19:39:21.042Z,total_trades,0
2025-09-25T19:39:21.042Z,win_rate,0
2025-09-25T19:39:21.043Z,current_pool,600
2025-09-25T19:39:21.043Z,net_roi,0
2025-09-25T19:39:26.054Z,total_trades,0
2025-09-25T19:39:26.055Z,win_rate,0
2025-09-25T19:39:26.055Z,current_pool,600
2025-09-25T19:39:26.055Z,net_roi,0
